OLEAN CITY SCHOOLS,2012-2013,66,0.20,69,0.21,135,0.41,MIDDLE/HIGH,410 W SULLIVAN ST,OLEAN,NY,14760
RANDOLPH CENTRAL SCHOOL DISTRICT,2012-2013,49,0.16,54,0.17,103,0.33,DISTRICT TOTAL,18 MAIN ST,RANDOLPH,NY,14772
RANDOLPH CENTRAL SCHOOL DISTRICT,2012-2013,24,0.14,25,0.15,49,0.29,ELEMENTARY,18 MAIN ST,RANDOLPH,NY,14772
RANDOLPH CENTRAL SCHOOL DISTRICT,2012-2013,25,0.17,29,0.20,54,0.37,MIDDLE/HIGH,18 MAIN ST,RANDOLPH,NY,14772
SALAMANCA CITY SCHOOLS,2012-2013,83,0.16,111,0.21,194,0.37,DISTRICT TOTAL,50 IROQUOIS DR,SALAMANCA,NY,14779
SALAMANCA CITY SCHOOLS,2012-2013,54,0.15,75,0.21,129,0.36,ELEMENTARY,50 IROQUOIS DR,SALAMANCA,NY,14779
SALAMANCA CITY SCHOOLS,2012-2013,29,0.17,36,0.21,65,0.39,MIDDLE/HIGH,50 IROQUOIS DR,SALAMANCA,NY,14779
WEEDSPORT CENTRAL SCHOOL DISTRICT,2012-2013,44,0.16,49,0.18,93,0.34,DISTRICT TOTAL,2821 E BRUTUS ST,WEEDSPORT,NY,13166
WEEDSPORT CENTRAL SCHOOL DISTRICT,2012-2013,25,0.15,27,0.16,52,0.31,ELEMENTARY,2821 E BRUTUS ST,WEEDSPORT,NY,13166
WEEDSPORT CENTRAL SCHOOL DISTRICT,2012-2013,16,0.15,22,0.21,38,0.36,MIDDLE/HIGH,2821 E BRUTUS ST,WEEDSPORT,NY,13166
CATO MERIDIAN CENTRAL SCHOOL DISTRICT,2012-2013,33,0.09,49,0.13,82,0.22,DISTRICT TOTAL,2851 NYS RT 370,CATO,NY,13033
CATO MERIDIAN CENTRAL SCHOOL DISTRICT,2012-2013,8,0.03,23,0.10,31,0.13,ELEMENTARY,2851 NYS RT 370,CATO,NY,13033
CATO MERIDIAN CENTRAL SCHOOL DISTRICT,2012-2013,22,0.16,26,0.19,48,0.35,MIDDLE/HIGH,2851 NYS RT 370,CATO,NY,13033
MORAVIA CENTRAL SCHOOL DISTRICT,2012-2013,51,0.22,50,0.22,101,0.44,DISTRICT TOTAL,68 S MAIN ST,MORAVIA,NY,13118
MORAVIA CENTRAL SCHOOL DISTRICT,2012-2013,51,0.22,50,0.22,101,0.43,ELEMENTARY,68 S MAIN ST,MORAVIA,NY,13118
MORAVIA CENTRAL SCHOOL DISTRICT,2012-2013,29,0.20,28,0.20,57,0.40,MIDDLE/HIGH,68 S MAIN ST,MORAVIA,NY,13118
FREWSBURG CENTRAL SCHOOL DISTRICT,2012-2013,31,0.13,22,0.09,53,0.22,DISTRICT TOTAL,26 INSTITUTE ST,FREWSBURG,NY,14738
FREWSBURG CENTRAL SCHOOL DISTRICT,2012-2013,31,0.13,22,0.09,53,0.22,ELEMENTARY,26 INSTITUTE ST,FREWSBURG,NY,14738
FREWSBURG CENTRAL SCHOOL DISTRICT,2012-2013,,,,,,,MIDDLE/HIGH,26 INSTITUTE ST,FREWSBURG,NY,14738
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,65,0.16,102,0.25,167,0.41,DISTRICT TOTAL,5935 RT 60,SINCLAIRVILLE,NY,14782
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,41,0.16,57,0.22,98,0.38,ELEMENTARY,5935 RT 60,SINCLAIRVILLE,NY,14782
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,24,0.16,45,0.29,69,0.45,MIDDLE/HIGH,5935 RT 60,SINCLAIRVILLE,NY,14782
CLYMER CENTRAL SCHOOL DISTRICT,2012-2013,25,0.16,27,0.18,52,0.34,DISTRICT TOTAL,8672 E MAIN ST,CLYMER,NY,14724
CLYMER CENTRAL SCHOOL DISTRICT,2012-2013,12,0.14,13,0.15,25,0.29,ELEMENTARY,8672 E MAIN ST,CLYMER,NY,14724
CLYMER CENTRAL SCHOOL DISTRICT,2012-2013,8,0.13,14,0.22,22,0.35,MIDDLE/HIGH,8672 E MAIN ST,CLYMER,NY,14724
DUNKIRK CITY SCHOOL DISTRICT,2012-2013,106,0.17,161,0.26,267,0.43,DISTRICT TOTAL,620 MARAUDER DR,DUNKIRK,NY,14048
DUNKIRK CITY SCHOOL DISTRICT,2012-2013,56,0.16,82,0.24,138,0.40,ELEMENTARY,620 MARAUDER DR,DUNKIRK,NY,14048
DUNKIRK CITY SCHOOL DISTRICT,2012-2013,50,0.19,79,0.30,129,0.49,MIDDLE/HIGH,620 MARAUDER DR,DUNKIRK,NY,14048
SILVER CREEK CENTRAL SCHOOL DISTRICT,2012-2013,55,0.15,69,0.19,124,0.34,DISTRICT TOTAL,1 DICKINSON ST,SILVER CREEK,NY,14136
SILVER CREEK CENTRAL SCHOOL DISTRICT,2012-2013,37,0.15,43,0.17,80,0.31,ELEMENTARY,1 DICKINSON ST,SILVER CREEK,NY,14136
SILVER CREEK CENTRAL SCHOOL DISTRICT,2012-2013,18,0.16,26,0.23,44,0.40,MIDDLE/HIGH,1 DICKINSON ST,SILVER CREEK,NY,14136
PANAMA CENTRAL SCHOOL DISTRICT,2012-2013,35,0.17,45,0.22,80,0.39,DISTRICT TOTAL,41 NORTH ST,PANAMA,NY,14767
PANAMA CENTRAL SCHOOL DISTRICT,2012-2013,18,0.17,27,0.25,45,0.42,ELEMENTARY,41 NORTH ST,PANAMA,NY,14767
PANAMA CENTRAL SCHOOL DISTRICT,2012-2013,17,0.18,18,0.19,35,0.38,MIDDLE/HIGH,41 NORTH ST,PANAMA,NY,14767
BROCTON CENTRAL SCHOOL DISTRICT,2012-2013,31,0.14,40,0.18,71,0.31,DISTRICT TOTAL,138 W MAIN ST,BROCTON,NY,14716
BROCTON CENTRAL SCHOOL DISTRICT,2012-2013,16,0.11,27,0.18,43,0.29,ELEMENTARY,138 W MAIN ST,BROCTON,NY,14716
BROCTON CENTRAL SCHOOL DISTRICT,2012-2013,15,0.19,13,0.17,28,0.36,MIDDLE/HIGH,138 W MAIN ST,BROCTON,NY,14716
SHERMAN CENTRAL SCHOOL DISTRICT,2012-2013,33,0.18,30,0.17,63,0.35,DISTRICT TOTAL,127 PARK ST,SHERMAN,NY,14781
SHERMAN CENTRAL SCHOOL DISTRICT,2012-2013,19,0.19,11,0.11,30,0.31,ELEMENTARY,127 PARK ST,SHERMAN,NY,14781
SHERMAN CENTRAL SCHOOL DISTRICT,2012-2013,11,0.14,19,0.24,30,0.37,MIDDLE/HIGH,127 PARK ST,SHERMAN,NY,14781
WESTFIELD CENTRAL SCHOOL DISTRICT,2012-2013,40,0.14,53,0.19,93,0.34,DISTRICT TOTAL,203 E MAIN ST,WESTFIELD,NY,14787
WESTFIELD CENTRAL SCHOOL DISTRICT,2012-2013,23,0.17,23,0.17,46,0.33,ELEMENTARY,203 E MAIN ST,WESTFIELD,NY,14787
WESTFIELD CENTRAL SCHOOL DISTRICT,2012-2013,17,0.14,18,0.15,35,0.29,MIDDLE/HIGH,203 E MAIN ST,WESTFIELD,NY,14787
ELMIRA CITY SCHOOL DISTRICT,2012-2013,306,0.17,359,0.20,665,0.37,DISTRICT TOTAL,951 HOFFMAN ST,ELMIRA,NY,14905
ELMIRA CITY SCHOOL DISTRICT,2012-2013,203,0.16,263,0.20,466,0.36,ELEMENTARY,951 HOFFMAN ST,ELMIRA,NY,14905
ELMIRA CITY SCHOOL DISTRICT,2012-2013,103,0.20,96,0.18,199,0.38,MIDDLE/HIGH,951 HOFFMAN ST,ELMIRA,NY,14905
GREENE CENTRAL SCHOOL DISTRICT,2012-2013,66,0.20,53,0.16,119,0.36,DISTRICT TOTAL,40 S CANAL ST,GREENE,NY,13778
GREENE CENTRAL SCHOOL DISTRICT,2012-2013,36,0.19,29,0.15,65,0.34,ELEMENTARY,40 S CANAL ST,GREENE,NY,13778
GREENE CENTRAL SCHOOL DISTRICT,2012-2013,30,0.22,24,0.17,54,0.39,MIDDLE/HIGH,40 S CANAL ST,GREENE,NY,13778
UNADILLA VALLEY CENTRAL SCHOOLS,2012-2013,42,0.19,68,0.30,110,0.49,DISTRICT TOTAL,4238 STATE HWY 8,NEW BERLIN,NY,13411
UNADILLA VALLEY CENTRAL SCHOOLS,2012-2013,33,0.23,37,0.26,70,0.48,ELEMENTARY,4238 STATE HWY 8,NEW BERLIN,NY,13411
UNADILLA VALLEY CENTRAL SCHOOLS,2012-2013,8,0.10,31,0.39,39,0.49,MIDDLE/HIGH,4238 STATE HWY 8,NEW BERLIN,NY,13411
NORWICH CITY SCHOOL DISTRICT,2012-2013,145,0.20,147,0.20,292,0.39,DISTRICT TOTAL,89 MIDLAND DR,NORWICH,NY,13815
NORWICH CITY SCHOOL DISTRICT,2012-2013,90,0.20,87,0.19,177,0.38,ELEMENTARY,89 MIDLAND DR,NORWICH,NY,13815
NORWICH CITY SCHOOL DISTRICT,2012-2013,55,0.20,60,0.22,115,0.41,MIDDLE/HIGH,89 MIDLAND DR,NORWICH,NY,13815
GEORGETOWN-SO OTSELIC CENTRAL SCHOOL DISTRICT,2012-2013,14,0.15,22,0.23,36,0.38,DISTRICT TOTAL,125 COUNTY RD 13A,SOUTH OTSELIC,NY,13155
GEORGETOWN-SO OTSELIC CENTRAL SCHOOL DISTRICT,2012-2013,,,,,,,ELEMENTARY,125 COUNTY RD 13A,SOUTH OTSELIC,NY,13155
GEORGETOWN-SO OTSELIC CENTRAL SCHOOL DISTRICT,2012-2013,12,0.19,15,0.23,27,0.42,MIDDLE/HIGH,125 COUNTY RD 13A,SOUTH OTSELIC,NY,13155
AUSABLE VALLEY CENTRAL SCHOOL,2012-2013,46,0.15,97,0.32,143,0.47,DISTRICT TOTAL,1273 RT 9N,CLINTONVILLE,NY,12924
AUSABLE VALLEY CENTRAL SCHOOL,2012-2013,21,0.14,47,0.30,68,0.44,ELEMENTARY,1273 RT 9N,CLINTONVILLE,NY,12924
AUSABLE VALLEY CENTRAL SCHOOL,2012-2013,25,0.17,51,0.34,76,0.51,MIDDLE/HIGH,1273 RT 9N,CLINTONVILLE,NY,12924
BEEKMANTOWN CENTRAL SCHOOL,2012-2013,112,0.18,130,0.21,242,0.38,DISTRICT TOTAL,37 EAGLE WAY,WEST CHAZY,NY,12992
BEEKMANTOWN CENTRAL SCHOOL,2012-2013,70,0.18,71,0.18,141,0.37,ELEMENTARY,37 EAGLE WAY,WEST CHAZY,NY,12992
BEEKMANTOWN CENTRAL SCHOOL,2012-2013,42,0.17,59,0.24,101,0.42,MIDDLE/HIGH,37 EAGLE WAY,WEST CHAZY,NY,12992
NORTHERN ADIRONDACK CENTRAL SCHOOL,2012-2013,39,0.17,47,0.21,86,0.38,DISTRICT TOTAL,5572 RT 11,ELLENBURG DEPOT,NY,12935
NORTHERN ADIRONDACK CENTRAL SCHOOL,2012-2013,27,0.17,36,0.22,63,0.38,ELEMENTARY,5572 RT 11,ELLENBURG DEPOT,NY,12935
NORTHERN ADIRONDACK CENTRAL SCHOOL,2012-2013,12,0.20,11,0.18,23,0.38,MIDDLE/HIGH,5572 RT 11,ELLENBURG DEPOT,NY,12935
PERU CENTRAL SCHOOL,2012-2013,73,0.18,60,0.15,133,0.33,DISTRICT TOTAL,17 SCHOOL ST,PERU,NY,12972
PERU CENTRAL SCHOOL,2012-2013,58,0.19,53,0.17,111,0.36,ELEMENTARY,17 SCHOOL ST,PERU,NY,12972
PERU CENTRAL SCHOOL,2012-2013,15,0.18,,,15,0.18,MIDDLE/HIGH,17 SCHOOL ST,PERU,NY,12972
TACONIC HILLS CENTRAL SCHOOL,2012-2013,68,0.18,57,0.15,125,0.32,DISTRICT TOTAL,73 COUNTY RT 11A,CRARYVILLE,NY,12521
TACONIC HILLS CENTRAL SCHOOL,2012-2013,45,0.18,33,0.13,78,0.31,ELEMENTARY,73 COUNTY RT 11A,CRARYVILLE,NY,12521
TACONIC HILLS CENTRAL SCHOOL,2012-2013,23,0.18,24,0.19,47,0.37,MIDDLE/HIGH,73 COUNTY RT 11A,CRARYVILLE,NY,12521
NEW LEBANON CENTRAL SCHOOL DISTRICT,2012-2013,34,0.30,22,0.20,56,0.50,DISTRICT TOTAL,14665 RT 22,NEW LEBANON,NY,12125
NEW LEBANON CENTRAL SCHOOL DISTRICT,2012-2013,5,0.08,9,0.15,14,0.23,ELEMENTARY,14665 RT 22,NEW LEBANON,NY,12125
NEW LEBANON CENTRAL SCHOOL DISTRICT,2012-2013,6,0.12,13,0.25,19,0.37,MIDDLE/HIGH,14665 RT 22,NEW LEBANON,NY,12125
CINCINNATUS CENTRAL SCHOOL DISTRICT,2012-2013,25,0.17,33,0.23,58,0.40,DISTRICT TOTAL,2809 CINCINNATUS RD,CINCINNATUS,NY,13040
CINCINNATUS CENTRAL SCHOOL DISTRICT,2012-2013,17,0.19,19,0.21,36,0.40,ELEMENTARY,2809 CINCINNATUS RD,CINCINNATUS,NY,13040
CINCINNATUS CENTRAL SCHOOL DISTRICT,2012-2013,,,14,0.36,14,0.36,MIDDLE/HIGH,2809 CINCINNATUS RD,CINCINNATUS,NY,13040
HOMER CENTRAL SCHOOL DISTRICT,2012-2013,129,0.18,138,0.20,267,0.38,DISTRICT TOTAL,80 S WEST ST,HOMER,NY,13077
HOMER CENTRAL SCHOOL DISTRICT,2012-2013,85,0.21,73,0.18,158,0.39,ELEMENTARY,80 S WEST ST,HOMER,NY,13077
HOMER CENTRAL SCHOOL DISTRICT,2012-2013,44,0.15,65,0.22,109,0.37,MIDDLE/HIGH,80 S WEST ST,HOMER,NY,13077
MARATHON CENTRAL SCHOOL DISTRICT,2012-2013,34,0.16,50,0.23,84,0.39,DISTRICT TOTAL,1 E MAIN ST,MARATHON,NY,13803
MARATHON CENTRAL SCHOOL DISTRICT,2012-2013,24,0.20,23,0.19,47,0.40,ELEMENTARY,1 E MAIN ST,MARATHON,NY,13803
MARATHON CENTRAL SCHOOL DISTRICT,2012-2013,10,0.10,27,0.28,37,0.38,MIDDLE/HIGH,1 E MAIN ST,MARATHON,NY,13803
